Rk,Team,G,Percent3pAttempted,Percent3pMade
1,Atlanta Hawks,19,0.193,0.419
2,Boston Celtics,18,0.195,0.378
3,Brooklyn Nets,21,0.213,0.37
4,Chicago Bulls,18,0.254,0.485
5,Charlotte Hornets,20,0.213,0.432
6,Cleveland Cavaliers,19,0.23,0.413
7,Dallas Mavericks,20,0.221,0.327
8,Denver Nuggets,19,0.22,0.476
9,Detroit Pistons,20,0.229,0.333
10,Golden State Warriors,20,0.202,0.38
11,Houston Rockets,18,0.235,0.405
12,Indiana Pacers,19,0.221,0.389
13,Los Angeles Clippers,20,0.258,0.508
14,Los Angeles Lakers,21,0.248,0.416
15,Memphis Grizzlies,14,0.29,0.331
16,Miami Heat,19,0.231,0.379
17,Milwaukee Bucks,19,0.244,0.383
18,Minnesota Timberwolves,18,0.232,0.333
19,New Orleans Pelicans,18,0.208,0.331
20,New York Knicks,20,0.294,0.377
21,Oklahoma City Thunder,18,0.192,0.348
22,Orlando Magic,20,0.169,0.296
23,Philadelphia 76ers,20,0.253,0.391
24,Phoenix Suns,18,0.283,0.42
25,Portland Trail Blazers,18,0.177,0.385
26,Sacramento Kings,19,0.235,0.49
27,San Antonio Spurs,20,0.194,0.393
28,Toronto Raptors,19,0.219,0.412
29,Utah Jazz,19,0.241,0.409
30,Washington Wizards,15,0.189,0.432
,League Average,19,0.225,0.397
